Unnamed: 0,Date,UKPOUND_BID_SPOT,UKPOUND_ASK_SPOT
3341,1996-07-31,0.642467074,0.642880103
3384,1996-09-30,0.638977636,0.639386189
3407,1996-10-31,0.614175163,0.614552606
3450,1996-12-31,0.58356676,0.583907509
3473,1997-01-31,0.624219725,0.624609619
3493,1997-02-28,0.613647521,0.614024315
3514,1997-03-31,0.612745098,0.613120785
3536,1997-04-30,0.616903146,0.617283951
3579,1997-06-30,0.600384246,0.600744924
3602,1997-07-31,0.609236018,0.609607413
3645,1997-09-30,0.619885941,0.620270438
3668,1997-10-31,0.596125186,0.596480763
3711,1997-12-31,0.604521823,0.604887491
3775,1998-03-31,0.596089652,0.596445187
3797,1998-04-30,0.597657184,0.598014592
3840,1998-06-30,0.598515681,0.598874117
3863,1998-07-31,0.611620795,0.611995104
3884,1998-08-31,0.597728631,0.598086124
3906,1998-09-30,0.588512241,0.588858792
3949,1998-11-30,0.605913718,0.606281072
3972,1998-12-31,0.600889316,0.601250601
4036,1999-03-31,0.61896509,0.619348445
4058,1999-04-30,0.621426796,0.621813207
4079,1999-05-31,0.624375624,0.624765713
4101,1999-06-30,0.634356762,0.634759426
4145,1999-08-31,0.622045285,0.622432466
4167,1999-09-30,0.607164542,0.607533414
4210,1999-11-30,0.62751004,0.627904056
4233,1999-12-31,0.619655472,0.620039683
4254,2000-01-31,0.617894217,0.618276246
4275,2000-02-29,0.632431065,0.632831287
4298,2000-03-31,0.62672349,0.627116518
4341,2000-05-31,0.667645881,0.668091929
4363,2000-06-30,0.659630607,0.660066007
4384,2000-07-31,0.666755567,0.667200427
4407,2000-08-31,0.690131125,0.690607735
4450,2000-10-31,0.689464975,0.689940665
4472,2000-11-30,0.701557458,0.702049986
4516,2001-01-31,0.684837693,0.685307018
4536,2001-02-28,0.691658597,0.69213732
4579,2001-04-30,0.698616739,0.699105145
4602,2001-05-31,0.705019741,0.705517144
4645,2001-07-31,0.702148575,0.702444507
4668,2001-08-31,0.688657806,0.688942473
4711,2001-10-31,0.687285223,0.687568757
4733,2001-11-30,0.70229651,0.702592567
4754,2001-12-31,0.688041833,0.688325991
4777,2002-01-31,0.707413696,0.707714084
4797,2002-02-28,0.706613906,0.706913615
4840,2002-04-30,0.68540096,0.68568294
4863,2002-05-31,0.683947746,0.684228532
4906,2002-07-31,0.638977636,0.639222705
4949,2002-09-30,0.637226789,0.637470517
4972,2002-10-31,0.639467963,0.639713408
5015,2002-12-31,0.621040864,0.621272366
5038,2003-01-31,0.607865783,0.608087565
5058,2003-02-28,0.63496095,0.635202947
5079,2003-03-31,0.632951453,0.63319192
5101,2003-04-30,0.624726682,0.62496094
5144,2003-06-30,0.604668037,0.604887491
5167,2003-07-31,0.621388181,0.621619942
5210,2003-09-30,0.601178309,0.601395237
