acquirer,match1,match2,match3,match4,match5
Renasant,RENASANT CORPORATION,"SAINT CLAIR AGENCY, INC.","SARGENT BANKSHARES, INC.","ARNESON BANCSHARES, INC.",KENBANCORP
Southern BancShares(NC)Inc,"SOUTHERN BANCSHARES (N.C.), INC.","SOUTHERN BANCSHARES, INC.","SOUTHERN BANKSHARES, INC.","FIRST SOUTHERN BANCSHARES, INC.","SOUTHERN FIRST BANCSHARES, INC."
Heartland Financial USA,"HEARTLAND FINANCIAL USA, INC.","HARTLAND FINANCIAL, INC.","WSB FINANCIAL, LTD","SV FINANCIAL, INC.",BNH FINANCIAL
Fidelity Southern,FIDELITY SOUTHERN CORPORATION,"FIRST SOUTHERN BANCORP, INC.",BANCORP OF SOUTHERN INDIANA,"FIDELITY BANCSHARES, INC.","SOUTHWEST SECURITY, INC."
German American Bancorp,"GERMAN AMERICAN BANCORP, INC.",FIRST AMERICAN BANCORP,"AMERICAN BANCORP, INC.",AMERIANA BANCORP,"AMERICAN CHARTERED BANCORP, INC."
KeyCorp,KEYCORP,KENBANCORP,BAYLAKE CORP.,CENTURY BANK CORP.,"ELKCORP, INC."
Seacoast Bankg of Florida,STATE BANK OF INDIA,"COMMUNITY BANK OF SOUTH FLORIDA, INC.","BRANNEN BANKS OF FLORIDA, INC.","BANK OF NOVA SCOTIA, THE",STATE BANK CORP.
Cardinal Bankshares,CARDINAL BANKSHARES CORPORATION,"CBA BANKSHARES, INC.","CARLSON BANKSHARES, INC.","CHARTER BANKSHARES, INC.","PALCO BANKSHARES, INC."
Bank of the Ozarks,BANK OF THE OZARKS INC,"BANK OF NOVA SCOTIA, THE",BANK OF THE CAROLINAS CORPORATION,"FIRST BANK SHARES OF THE SOUTH EAST, INC.","BANK OF THE JAMES FINANCIAL GROUP, INC."
United Bankshares,"UNITED BANKSHARES, INC.","UNITED BANCSHARES, INC.","UNION BANKSHARES, INC.","GUARANTY BANKSHARES, LTD.","UNITY BANCSHARES, L.L.C."
BNC Bancorp,BNC BANCORP,NCAL BANCORP,BRUNSWICK BANCORP,"CNB BANCORP, INC.","FNB BANCORP, INC."
County Bancorp,TRI-COUNTY BANCORP.,COUNTY BANK CORP,"COUNTY BANCORP, INC.",CU BANCORP,COMMUNITY BANCORP
MB Financial,"MB FINANCIAL, INC.","MSB FINANCIAL, INC.",MBT FINANCIAL CORP.,MVB FINANCIAL CORP.,"HAMBURG FINANCIAL, INC."
Hanmi Financial,HANMI FINANCIAL CORPORATION,"HAMBURG FINANCIAL, INC.","HARTLAND FINANCIAL, INC.","HOHL FINANCIAL, INC.",HAINES FINANCIAL CORP
Capital Bank Financial,CAPITAL BANK FINANCIAL CORP.,BNH FINANCIAL,BLACK CAT FINANCIAL CORP,"CAPITAL BANCORP, INC.",SELECT BANK FINANCIAL CORPORATION
WSFS Financial,"WSB FINANCIAL, LTD",FSB FINANCIAL CORP,WVS FINANCIAL CORP.,"GLAASS FINANCIAL, LLC",WELLS FINANCIAL CORP.
Great Western Bancorp,"GREAT SOUTHERN BANCORP, INC.","EAST WEST BANCORP, INC.",ALL WEST BANCORP,"GREATER ROCHESTER BANCORP, INC.",PACWEST BANCORP
Charter Financial,CBT FINANCIAL CORP.,BNH FINANCIAL,R CORP FINANCIAL,"CEDARSTONE FINANCIAL, INC.","EXCHANGE FINANCIAL, INC."
BBCN Bancorp,"BBCN BANCORP, INC.",BEACON BANCORP,CNB BANCORP,BNC BANCORP,CBB BANCORP
BOK Financial,BOK FINANCIAL CORPORATION,BNH FINANCIAL,"CBOA FINANCIAL, INC.","BANCORP FINANCIAL, INC.","BANKWEST FINANCIAL, INC."
Franklin Financial Network,"FRANKLIN FINANCIAL NETWORK, INC.","OAK FINANCIAL, INC.","TGR FINANCIAL, INC.","COMMODORE FINANCIAL NETWORK, INC.",FRANKLIN FINANCIAL SERVICES CORPORATION
Pacificmmerce Bank,TRANS PACIFIC BANCORP,"PACIFIC PREMIER BANCORP, INC.","CAPITAL COMMERCE BANCORP, INC.",OREGON PACIFIC BANCORP,"P & C BANK SHARES, INC."
