Product_Name,Sub_Fund_Name,Issuer,Auth_Date,Doc,Deriv_Fund,Product_ID,Sub_Fund_ID,doc_url
Capital International Fund (BGX053),Capital Group New Economy Fund (Lux) (BOU467),Capital International Management Company,7/11/2019,Offering Documents,No,BGX053,BOU467,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOU467&docType=OD
DCI Investment Trust (AWD544),Da Cheng Hong Kong Dollar Money Market Fund (BOW465),Da Cheng International Asset Management Company Limited,5/11/2019,Offering Documents,No,AWD544,BOW465,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOW465&docType=OD
UBS (Lux) Equity SICAV (AQQ447),UBS (Lux) Equity SICAV – Long Term Themes (USD) (BOT228),UBS Fund Management (Luxembourg) S.A.,5/11/2019,Offering Documents,No,AQQ447,BOT228,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOT228&docType=OD
Value Partners Fund Series (BCG586),Value Partners Asian Fixed Maturity Bond Fund 2022 (BOU091),Value Partners Hong Kong Limited,31/10/2019,Offering Documents,No,BCG586,BOU091,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOU091&docType=OD
BEA Union Investment Series (AHE623),BEA Union Investment Asian Corporate Target Maturity Fund 2023 (BOS347),BEA Union Investment Management Limited,21/10/2019,Offering Documents,No,AHE623,BOS347,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOS347&docType=OD
HSBC Global Investment Funds (AAU032),HSBC Global Investment Funds - Asia Credit Fixed Term Bond 2023 (BOO011),HSBC Investment Funds (Luxembourg) S.A.,18/10/2019,Offering Documents,No,AAU032,BOO011,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOO011&docType=OD
HSBC Global Investment Funds (AAU032),HSBC Global Investment Funds - Asia Credit Fixed Term Bond 2024-2 (BOO020),HSBC Investment Funds (Luxembourg) S.A.,18/10/2019,Offering Documents,No,AAU032,BOO020,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOO020&docType=OD
HSBC Global Investment Funds (AAU032),HSBC Global Investment Funds - Global Corporate Fixed Term Bond 2023-3 (BOO028),HSBC Investment Funds (Luxembourg) S.A.,18/10/2019,Offering Documents,No,AAU032,BOO028,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOO028&docType=OD
First Sentier Investors Global Umbrella Fund plc (AER758),FSSA China A Shares Fund (BOM787),Board of Director - First Sentier Investors Global Umbrella Fund plc,11/10/2019,Offering Documents,No,AER758,BOM787,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOM787&docType=OD
First Sentier Investors Global Umbrella Fund plc (AER758),FSSA Global Emerging Markets Focus Fund (BOM788),Board of Director - First Sentier Investors Global Umbrella Fund plc,11/10/2019,Offering Documents,No,AER758,BOM788,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BOM788&docType=OD
